Scenario,Algorithm,Total Tasks,High Priority Tasks,Low Priority Tasks,High Met Deadline,Low Met Deadline,Total Met Deadline,High Success Rate (%),Low Success Rate (%),Total Success Rate (%),Makespan,Avg Response Time,Avg Waiting Time,Simulation Time
Light Load,SPT,5,3,2,3,2,5,100.0,100.0,100.0,12,5.6,2.67,12
Light Load,EDF,5,3,2,3,2,5,100.0,100.0,100.0,12,5.6,2.67,12
Light Load,Priority-First,5,3,2,3,2,5,100.0,100.0,100.0,12,5.6,2.67,12
Light Load,DPE (α=0.5),5,3,2,3,2,5,100.0,100.0,100.0,12,5.6,2.67,12
Light Load,DPE (α=0.7),5,3,2,3,2,5,100.0,100.0,100.0,12,5.6,2.67,12
Light Load,DPE (α=0.9),5,3,2,3,2,5,100.0,100.0,100.0,12,5.6,2.67,12
Heavy Load,SPT,7,4,3,4,3,7,100.0,100.0,100.0,13,7.14,4.25,13
Heavy Load,EDF,7,4,3,4,3,7,100.0,100.0,100.0,13,7.14,4.25,13
Heavy Load,Priority-First,7,4,3,4,3,7,100.0,100.0,100.0,13,7.14,4.25,13
Heavy Load,DPE (α=0.5),7,4,3,4,3,7,100.0,100.0,100.0,13,7.14,4.25,13
Heavy Load,DPE (α=0.7),7,4,3,4,3,7,100.0,100.0,100.0,13,7.14,4.25,13
Heavy Load,DPE (α=0.9),7,4,3,4,3,7,100.0,100.0,100.0,13,7.14,4.25,13
Starvation Test,SPT,7,5,2,5,2,7,100.0,100.0,100.0,8,3.29,1.0,8
Starvation Test,EDF,7,5,2,5,2,7,100.0,100.0,100.0,8,3.29,1.0,8
Starvation Test,Priority-First,7,5,2,5,2,7,100.0,100.0,100.0,8,3.29,1.0,8
Starvation Test,DPE (α=0.5),7,5,2,5,2,7,100.0,100.0,100.0,8,3.29,1.0,8
Starvation Test,DPE (α=0.7),7,5,2,5,2,7,100.0,100.0,100.0,8,3.29,1.0,8
Starvation Test,DPE (α=0.9),7,5,2,5,2,7,100.0,100.0,100.0,8,3.29,1.0,8
Batch Arrival,SPT,6,3,3,3,3,6,100.0,100.0,100.0,13,6.67,4.25,13
Batch Arrival,EDF,6,3,3,3,3,6,100.0,100.0,100.0,14,7.0,4.75,14
Batch Arrival,Priority-First,6,3,3,3,3,6,100.0,100.0,100.0,14,7.0,4.75,14
Batch Arrival,DPE (α=0.5),6,3,3,3,3,6,100.0,100.0,100.0,14,7.0,4.75,14
Batch Arrival,DPE (α=0.7),6,3,3,3,3,6,100.0,100.0,100.0,14,7.0,4.75,14
Batch Arrival,DPE (α=0.9),6,3,3,3,3,6,100.0,100.0,100.0,14,7.0,4.75,14
